2025-03-22 17:05:55.294 | INFO     | __main__:load_keywords_dict:162 - 成功加载关键词词典: ./keywords_dicts\keywords_dict.yaml
2025-03-22 17:05:58.663 | INFO     | __main__:_init_expression_server:148 - 表情服务器启动成功
2025-03-22 17:05:58.664 | INFO     | __main__:run_modbus_server:201 - Modbus 从机正在 192.168.1.138:599 上监听...
2025-03-22 17:05:59.677 | INFO     | __main__:request_monitor:184 - 当前保持寄存器数据: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2025-03-22 17:06:00.687 | INFO     | __main__:run_modbus_server:218 - Modbus服务器任务被取消
2025-03-22 17:06:00.970 | INFO     | __main__:start_wake_detection:268 - 开始监听唤醒词...
2025-03-22 17:06:04.946 | INFO     | __main__:wake_callback:170 - ==================================================
2025-03-22 17:06:04.946 | INFO     | __main__:wake_callback:171 - >>> 检测到唤醒词！请说出您的指令 <<<
2025-03-22 17:06:08.348 | INFO     | __main__:wake_callback:176 - ==================================================
2025-03-22 17:06:08.361 | INFO     | __main__:start_speech_recognition:295 - 开始语音识别...
2025-03-22 17:06:08.645 | INFO     | __main__:run:523 - * 开始录音...
2025-03-22 17:06:12.480 | INFO     | __main__:on_message:381 - 把红色方块放到红色盒子里
2025-03-22 17:06:16.257 | INFO     | __main__:on_message:381 - ，把红色方块放到红色盒子里
2025-03-22 17:06:17.277 | INFO     | __main__:on_message:381 - ，操作它这个
2025-03-22 17:06:18.699 | INFO     | __main__:on_message:381 - 。
2025-03-22 17:06:18.750 | INFO     | __main__:on_close:501 - 
### 语音识别结束 ###
2025-03-22 17:06:18.750 | INFO     | __main__:on_close:503 - 
正在分析关键词...
2025-03-22 17:06:18.750 | INFO     | __main__:run:556 - * 录音结束
2025-03-22 17:06:19.064 | INFO     | __main__:match_keywords:495 - 找到匹配关键词: 方块 匹配 方块
2025-03-22 17:06:19.064 | INFO     | __main__:match_keywords:495 - 找到匹配关键词: 方块 匹配 方块
2025-03-22 17:06:24.416 | INFO     | __main__:process_text_and_send_signal:447 - 发送信号: 401
2025-03-22 17:06:24.417 | INFO     | __main__:process_text_and_send_signal:448 - 切换表情：开心
2025-03-22 17:06:24.419 | INFO     | __main__:main:580 - 继续监听唤醒词...
2025-03-22 17:06:25.514 | INFO     | __main__:start_wake_detection:268 - 开始监听唤醒词...
2025-03-22 17:06:29.943 | INFO     | __main__:wake_callback:170 - ==================================================
2025-03-22 17:06:29.943 | INFO     | __main__:wake_callback:171 - >>> 检测到唤醒词！请说出您的指令 <<<
2025-03-22 17:06:33.388 | INFO     | __main__:wake_callback:176 - ==================================================
2025-03-22 17:06:33.403 | INFO     | __main__:start_speech_recognition:295 - 开始语音识别...
2025-03-22 17:06:33.667 | INFO     | __main__:run:523 - * 开始录音...
2025-03-22 17:06:38.522 | INFO     | __main__:on_message:381 - 根本说不到两个
2025-03-22 17:06:41.272 | INFO     | __main__:on_message:381 - ，因为时间过了对
2025-03-22 17:06:43.767 | INFO     | __main__:on_close:501 - 
### 语音识别结束 ###
2025-03-22 17:06:43.767 | INFO     | __main__:on_close:503 - 
正在分析关键词...
2025-03-22 17:06:43.767 | INFO     | __main__:run:556 - * 录音结束
2025-03-22 17:06:48.661 | INFO     | __main__:main:580 - 继续监听唤醒词...
2025-03-22 17:06:49.735 | INFO     | __main__:start_wake_detection:268 - 开始监听唤醒词...
2025-03-22 17:06:52.240 | INFO     | __main__:wake_callback:170 - ==================================================
2025-03-22 17:06:52.240 | INFO     | __main__:wake_callback:171 - >>> 检测到唤醒词！请说出您的指令 <<<
2025-03-22 17:06:55.681 | INFO     | __main__:wake_callback:176 - ==================================================
2025-03-22 17:06:55.693 | INFO     | __main__:start_speech_recognition:295 - 开始语音识别...
2025-03-22 17:06:55.925 | INFO     | __main__:run:523 - * 开始录音...
2025-03-22 17:07:06.027 | INFO     | __main__:on_close:501 - 
### 语音识别结束 ###
2025-03-22 17:07:06.030 | INFO     | __main__:run:556 - * 录音结束
2025-03-22 17:07:06.033 | INFO     | __main__:main:580 - 继续监听唤醒词...
2025-03-22 17:07:07.175 | INFO     | __main__:start_wake_detection:268 - 开始监听唤醒词...
2025-03-22 17:07:12.881 | INFO     | __main__:wake_callback:170 - ==================================================
2025-03-22 17:07:12.881 | INFO     | __main__:wake_callback:171 - >>> 检测到唤醒词！请说出您的指令 <<<
2025-03-22 17:07:16.276 | INFO     | __main__:wake_callback:176 - ==================================================
2025-03-22 17:07:16.288 | INFO     | __main__:start_speech_recognition:295 - 开始语音识别...
2025-03-22 17:07:16.548 | INFO     | __main__:run:523 - * 开始录音...
2025-03-22 17:07:26.650 | INFO     | __main__:on_close:501 - 
### 语音识别结束 ###
2025-03-22 17:07:26.651 | INFO     | __main__:run:556 - * 录音结束
2025-03-22 17:07:26.656 | INFO     | __main__:main:580 - 继续监听唤醒词...
2025-03-22 17:07:27.828 | INFO     | __main__:start_wake_detection:268 - 开始监听唤醒词...
2025-03-22 17:08:28.764 | INFO     | __main__:wake_callback:170 - ==================================================
2025-03-22 17:08:28.764 | INFO     | __main__:wake_callback:171 - >>> 检测到唤醒词！请说出您的指令 <<<
2025-03-22 17:08:32.385 | INFO     | __main__:wake_callback:176 - ==================================================
2025-03-22 17:08:32.397 | INFO     | __main__:start_speech_recognition:295 - 开始语音识别...
2025-03-22 17:08:32.636 | INFO     | __main__:run:523 - * 开始录音...
2025-03-22 17:08:42.721 | INFO     | __main__:on_close:501 - 
### 语音识别结束 ###
2025-03-22 17:08:42.723 | INFO     | __main__:main:580 - 继续监听唤醒词...
2025-03-22 17:08:42.742 | INFO     | __main__:run:556 - * 录音结束
2025-03-22 17:08:43.859 | INFO     | __main__:start_wake_detection:268 - 开始监听唤醒词...
2025-03-22 17:10:43.994 | INFO     | __main__:wake_callback:170 - ==================================================
2025-03-22 17:10:43.995 | INFO     | __main__:wake_callback:171 - >>> 检测到唤醒词！请说出您的指令 <<<
2025-03-22 17:10:47.416 | INFO     | __main__:wake_callback:176 - ==================================================
2025-03-22 17:10:47.427 | INFO     | __main__:start_speech_recognition:295 - 开始语音识别...
2025-03-22 17:10:47.683 | INFO     | __main__:run:523 - * 开始录音...
2025-03-22 17:10:52.598 | INFO     | __main__:on_message:381 - 为什么九十几秒
2025-03-22 17:10:56.308 | INFO     | __main__:on_message:381 - 没有我把她教我那个在我
2025-03-22 17:10:57.593 | INFO     | __main__:on_message:381 - 。
2025-03-22 17:10:57.778 | INFO     | __main__:on_close:501 - 
### 语音识别结束 ###
2025-03-22 17:10:57.778 | INFO     | __main__:run:556 - * 录音结束
2025-03-22 17:10:57.779 | INFO     | __main__:on_close:503 - 
正在分析关键词...
2025-03-22 17:11:02.737 | INFO     | __main__:main:580 - 继续监听唤醒词...
2025-03-22 17:11:03.823 | INFO     | __main__:start_wake_detection:268 - 开始监听唤醒词...
2025-03-22 17:11:13.050 | INFO     | __main__:wake_callback:170 - ==================================================
2025-03-22 17:11:13.051 | INFO     | __main__:wake_callback:171 - >>> 检测到唤醒词！请说出您的指令 <<<
2025-03-22 17:11:16.461 | INFO     | __main__:wake_callback:176 - ==================================================
2025-03-22 17:11:16.472 | INFO     | __main__:start_speech_recognition:295 - 开始语音识别...
2025-03-22 17:11:16.739 | INFO     | __main__:run:523 - * 开始录音...
2025-03-22 17:11:26.786 | INFO     | __main__:on_message:381 - 
2025-03-22 17:11:26.852 | INFO     | __main__:on_close:501 - 
### 语音识别结束 ###
2025-03-22 17:11:26.852 | INFO     | __main__:run:556 - * 录音结束
2025-03-22 17:11:26.854 | INFO     | __main__:main:580 - 继续监听唤醒词...
2025-03-22 17:11:27.975 | INFO     | __main__:start_wake_detection:268 - 开始监听唤醒词...
2025-03-22 17:13:06.356 | INFO     | __main__:wake_callback:170 - ==================================================
2025-03-22 17:13:06.357 | INFO     | __main__:wake_callback:171 - >>> 检测到唤醒词！请说出您的指令 <<<
2025-03-22 17:13:09.815 | INFO     | __main__:wake_callback:176 - ==================================================
2025-03-22 17:13:09.829 | INFO     | __main__:start_speech_recognition:295 - 开始语音识别...
2025-03-22 17:13:10.080 | INFO     | __main__:run:523 - * 开始录音...
2025-03-22 17:13:20.123 | INFO     | __main__:on_message:381 - 
2025-03-22 17:13:20.177 | INFO     | __main__:on_close:501 - 
### 语音识别结束 ###
2025-03-22 17:13:20.177 | INFO     | __main__:run:556 - * 录音结束
2025-03-22 17:13:20.178 | INFO     | __main__:main:580 - 继续监听唤醒词...
2025-03-22 17:13:21.328 | INFO     | __main__:start_wake_detection:268 - 开始监听唤醒词...
2025-03-22 17:13:40.794 | INFO     | __main__:wake_callback:170 - ==================================================
2025-03-22 17:13:40.795 | INFO     | __main__:wake_callback:171 - >>> 检测到唤醒词！请说出您的指令 <<<
2025-03-22 17:13:44.126 | INFO     | __main__:wake_callback:176 - ==================================================
2025-03-22 17:13:44.137 | INFO     | __main__:start_speech_recognition:295 - 开始语音识别...
2025-03-22 17:13:44.394 | INFO     | __main__:run:523 - * 开始录音...
2025-03-22 17:13:54.436 | INFO     | __main__:on_message:381 - 
2025-03-22 17:13:54.504 | INFO     | __main__:on_close:501 - 
### 语音识别结束 ###
2025-03-22 17:13:54.505 | INFO     | __main__:run:556 - * 录音结束
2025-03-22 17:13:54.507 | INFO     | __main__:main:580 - 继续监听唤醒词...
2025-03-22 17:13:55.634 | INFO     | __main__:start_wake_detection:268 - 开始监听唤醒词...
